,0,model,days,apr,target,size,shares,bonds,bonds_pct
0,apr,,,,,,,,
1,model,,,,,,,,
2,days,,,,,,,,
3,shares,,,,,,,,
4,bonds,,,,,,,,
5,size,,,,,,,,
6,target,,,,,,,,
7,bonds_pct,,,,,,,,
8,,Yieldspace,1.0,0.05000000000777175,0.05,1000000.0,1000000.0,1016068.8396627024,0.5039851912163353
9,,Hyperdrive,1.0,0.05000000000777175,0.05,1000000.0,1000000.0,1016068.8396627024,0.5039851912163353
10,,Yieldspace,2.0,0.04999999999796711,0.05,1000000.0,1000000.0,1015953.6806262053,0.5039568569405944
11,,Hyperdrive,2.0,0.04999999999796711,0.05,1000000.0,1000000.0,1015953.6806262053,0.5039568569405944
12,,Yieldspace,3.0,0.049999999999413756,0.05,1000000.0,1000000.0,1015838.5517398389,0.5039285268470952
13,,Hyperdrive,3.0,0.049999999999413756,0.05,1000000.0,1000000.0,1015838.5517398389,0.5039285268470952
14,,Yieldspace,4.0,0.04999999999909892,0.05,1000000.0,1000000.0,1015723.4525528618,0.5039002008268914
15,,Hyperdrive,4.0,0.04999999999909892,0.05,1000000.0,1000000.0,1015723.4525528618,0.5039002008268914
16,,Yieldspace,5.0,0.05000000000034025,0.05,1000000.0,1000000.0,1015608.3831661394,0.50387187890676
17,,Hyperdrive,5.0,0.05000000000034025,0.05,1000000.0,1000000.0,1015608.3831661394,0.50387187890676
18,,Yieldspace,6.0,0.049999999999753186,0.05,1000000.0,1000000.0,1015493.3434532678,0.5038435610575429
19,,Hyperdrive,6.0,0.049999999999753186,0.05,1000000.0,1000000.0,1015493.3434532678,0.5038435610575429
20,,Yieldspace,7.0,0.05000000000025141,0.05,1000000.0,1000000.0,1015378.3335003392,0.5038152473023836
21,,Hyperdrive,7.0,0.05000000000025141,0.05,1000000.0,1000000.0,1015378.3335003392,0.5038152473023836
22,,Yieldspace,8.0,0.05000000000019623,0.05,1000000.0,1000000.0,1015263.3532406314,0.5037869376268087
23,,Hyperdrive,8.0,0.05000000000019623,0.05,1000000.0,1000000.0,1015263.3532406314,0.5037869376268087
24,,Yieldspace,9.0,0.05000000000013736,0.05,1000000.0,1000000.0,1015148.4026805011,0.5037586320343334
25,,Hyperdrive,9.0,0.05000000000013736,0.05,1000000.0,1000000.0,1015148.4026805011,0.5037586320343334
26,,Yieldspace,10.0,0.05000000000006654,0.05,1000000.0,1000000.0,1015033.4818078455,0.503730330523927
27,,Hyperdrive,10.0,0.05000000000006654,0.05,1000000.0,1000000.0,1015033.4818078455,0.503730330523927
28,,Yieldspace,11.0,0.04999999999996984,0.05,1000000.0,1000000.0,1014918.5906103981,0.5037020330945179
29,,Hyperdrive,11.0,0.04999999999996984,0.05,1000000.0,1000000.0,1014918.5906103981,0.5037020330945179
30,,Yieldspace,12.0,0.049999999999897606,0.05,1000000.0,1000000.0,1014803.7290778391,0.5036737397455122
31,,Hyperdrive,12.0,0.049999999999897606,0.05,1000000.0,1000000.0,1014803.7290778391,0.5036737397455122
32,,Yieldspace,13.0,0.049999999999967765,0.05,1000000.0,1000000.0,1014688.8972023017,0.5036454504769196
33,,Hyperdrive,13.0,0.049999999999967765,0.05,1000000.0,1000000.0,1014688.8972023017,0.5036454504769196
34,,Yieldspace,14.0,0.04999999999998432,0.05,1000000.0,1000000.0,1014574.0949654587,0.5036171652861714
35,,Hyperdrive,14.0,0.04999999999998432,0.05,1000000.0,1000000.0,1014574.0949654587,0.5036171652861714
36,,Yieldspace,15.0,0.04999999999998631,0.05,1000000.0,1000000.0,1014459.3223565139,0.5035888841725529
37,,Hyperdrive,15.0,0.04999999999998631,0.05,1000000.0,1000000.0,1014459.3223565139,0.5035888841725529
38,,Yieldspace,16.0,0.04999999999997607,0.05,1000000.0,1000000.0,1014344.5793639004,0.5035606071351582
39,,Hyperdrive,16.0,0.04999999999997607,0.05,1000000.0,1000000.0,1014344.5793639004,0.5035606071351582
40,,Yieldspace,17.0,0.05000000000003764,0.05,1000000.0,1000000.0,1014229.8659785487,0.5035323341736956
41,,Hyperdrive,17.0,0.05000000000003764,0.05,1000000.0,1000000.0,1014229.8659785487,0.5035323341736956
42,,Yieldspace,18.0,0.0499999999999679,0.05,1000000.0,1000000.0,1014115.182181722,0.5035040652854899
43,,Hyperdrive,18.0,0.0499999999999679,0.05,1000000.0,1000000.0,1014115.182181722,0.5035040652854899
44,,Yieldspace,19.0,0.050000000000029174,0.05,1000000.0,1000000.0,1014000.5279704382,0.5034758004717473
45,,Hyperdrive,19.0,0.050000000000029174,0.05,1000000.0,1000000.0,1014000.5279704382,0.5034758004717473
46,,Yieldspace,20.0,0.05000000000001432,0.05,1000000.0,1000000.0,1013885.9033259643,0.503447539729791
47,,Hyperdrive,20.0,0.05000000000001432,0.05,1000000.0,1000000.0,1013885.9033259643,0.503447539729791
48,,Yieldspace,21.0,0.0500000000000313,0.05,1000000.0,1000000.0,1013771.3082400697,0.503419283059531
49,,Hyperdrive,21.0,0.0500000000000313,0.05,1000000.0,1000000.0,1013771.3082400697,0.503419283059531
50,,Yieldspace,22.0,0.04999999999999267,0.05,1000000.0,1000000.0,1013656.7426979544,0.5033910304592571
51,,Hyperdrive,22.0,0.04999999999999267,0.05,1000000.0,1000000.0,1013656.7426979544,0.5033910304592571
52,,Yieldspace,23.0,0.04999999999996803,0.05,1000000.0,1000000.0,1013542.2066901817,0.50336278192858
53,,Hyperdrive,23.0,0.04999999999996803,0.05,1000000.0,1000000.0,1013542.2066901817,0.50336278192858
54,,Yieldspace,24.0,0.049999999999991634,0.05,1000000.0,1000000.0,1013427.7002061347,0.5033345374668184
55,,Hyperdrive,24.0,0.049999999999991634,0.05,1000000.0,1000000.0,1013427.7002061347,0.5033345374668184
56,,Yieldspace,25.0,0.050000000000021964,0.05,1000000.0,1000000.0,1013313.2232325157,0.5033062970726285
57,,Hyperdrive,25.0,0.050000000000021964,0.05,1000000.0,1000000.0,1013313.2232325157,0.5033062970726285
58,,Yieldspace,26.0,0.05000000000000486,0.05,1000000.0,1000000.0,1013198.7757558487,0.503278060744621
59,,Hyperdrive,26.0,0.05000000000000486,0.05,1000000.0,1000000.0,1013198.7757558487,0.503278060744621
60,,Yieldspace,27.0,0.050000000000004256,0.05,1000000.0,1000000.0,1013084.3577664297,0.5032498284823362
61,,Hyperdrive,27.0,0.050000000000004256,0.05,1000000.0,1000000.0,1013084.3577664297,0.5032498284823362
62,,Yieldspace,28.0,0.0500000000000003,0.05,1000000.0,1000000.0,1012969.9692518419,0.5032216002846437
63,,Hyperdrive,28.0,0.0500000000000003,0.05,1000000.0,1000000.0,1012969.9692518419,0.5032216002846437
64,,Yieldspace,29.0,0.04999999999998534,0.05,1000000.0,1000000.0,1012855.6102000441,0.5031933761505045
65,,Hyperdrive,29.0,0.04999999999998534,0.05,1000000.0,1000000.0,1012855.6102000441,0.5031933761505045
66,,Yieldspace,30.0,0.049999999999987735,0.05,1000000.0,1000000.0,1012741.2806002127,0.503165156079179
67,,Hyperdrive,30.0,0.049999999999987735,0.05,1000000.0,1000000.0,1012741.2806002127,0.503165156079179
68,,Yieldspace,31.0,0.050000000000001356,0.05,1000000.0,1000000.0,1012626.9804403574,0.5031369400696384
69,,Hyperdrive,31.0,0.050000000000001356,0.05,1000000.0,1000000.0,1012626.9804403574,0.5031369400696384
70,,Yieldspace,32.0,0.050000000000008815,0.05,1000000.0,1000000.0,1012512.7097081874,0.5031087281207783
71,,Hyperdrive,32.0,0.050000000000008815,0.05,1000000.0,1000000.0,1012512.7097081874,0.5031087281207783
72,,Yieldspace,33.0,0.05000000000000293,0.05,1000000.0,1000000.0,1012398.4683917293,0.5030805202315717
73,,Hyperdrive,33.0,0.05000000000000293,0.05,1000000.0,1000000.0,1012398.4683917293,0.5030805202315717
74,,Yieldspace,34.0,0.04999999999998751,0.05,1000000.0,1000000.0,1012284.2564793611,0.5030523164010767
75,,Hyperdrive,34.0,0.04999999999998751,0.05,1000000.0,1000000.0,1012284.2564793611,0.5030523164010767
76,,Yieldspace,35.0,0.050000000000006206,0.05,1000000.0,1000000.0,1012170.0739607686,0.5030241166286737
77,,Hyperdrive,35.0,0.050000000000006206,0.05,1000000.0,1000000.0,1012170.0739607686,0.5030241166286737
78,,Yieldspace,36.0,0.04999999999998571,0.05,1000000.0,1000000.0,1012055.9208218019,0.502995920912794
79,,Hyperdrive,36.0,0.04999999999998571,0.05,1000000.0,1000000.0,1012055.9208218019,0.502995920912794
80,,Yieldspace,37.0,0.0499999999999904,0.05,1000000.0,1000000.0,1011941.7970528954,0.5029677292530003
81,,Hyperdrive,37.0,0.0499999999999904,0.05,1000000.0,1000000.0,1011941.7970528954,0.5029677292530003
82,,Yieldspace,38.0,0.049999999999992016,0.05,1000000.0,1000000.0,1011827.7026414144,0.5029395416480957
83,,Hyperdrive,38.0,0.049999999999992016,0.05,1000000.0,1000000.0,1011827.7026414144,0.5029395416480957
84,,Yieldspace,39.0,0.050000000000010564,0.05,1000000.0,1000000.0,1011713.6375762819,0.5029113580972674
85,,Hyperdrive,39.0,0.050000000000010564,0.05,1000000.0,1000000.0,1011713.6375762819,0.5029113580972674
86,,Yieldspace,40.0,0.05000000000000791,0.05,1000000.0,1000000.0,1011599.6018445381,0.5028831785992356
87,,Hyperdrive,40.0,0.05000000000000791,0.05,1000000.0,1000000.0,1011599.6018445381,0.5028831785992356
88,,Yieldspace,41.0,0.049999999999997706,0.05,1000000.0,1000000.0,1011485.5954349362,0.5028550031531428
89,,Hyperdrive,41.0,0.049999999999997706,0.05,1000000.0,1000000.0,1011485.5954349362,0.5028550031531428
90,,Yieldspace,42.0,0.04999999999999726,0.05,1000000.0,1000000.0,1011371.6183363848,0.5028268317581687
91,,Hyperdrive,42.0,0.04999999999999726,0.05,1000000.0,1000000.0,1011371.6183363848,0.5028268317581687
92,,Yieldspace,43.0,0.04999999999999846,0.05,1000000.0,1000000.0,1011257.6705369274,0.5027986644132778
93,,Hyperdrive,43.0,0.04999999999999846,0.05,1000000.0,1000000.0,1011257.6705369274,0.5027986644132778
94,,Yieldspace,44.0,0.049999999999996714,0.05,1000000.0,1000000.0,1011143.7520246994,0.5027705011174562
95,,Hyperdrive,44.0,0.049999999999996714,0.05,1000000.0,1000000.0,1011143.7520246994,0.5027705011174562
96,,Yieldspace,45.0,0.04999999999999686,0.05,1000000.0,1000000.0,1011029.8627882187,0.5027423418697836
97,,Hyperdrive,45.0,0.04999999999999686,0.05,1000000.0,1000000.0,1011029.8627882187,0.5027423418697836
98,,Yieldspace,46.0,0.0500000000000014,0.05,1000000.0,1000000.0,1010916.0028159356,0.5027141866693212
99,,Hyperdrive,46.0,0.0500000000000014,0.05,1000000.0,1000000.0,1010916.0028159356,0.5027141866693212
100,,Yieldspace,47.0,0.049999999999994174,0.05,1000000.0,1000000.0,1010802.172095608,0.5026860355149583
101,,Hyperdrive,47.0,0.049999999999994174,0.05,1000000.0,1000000.0,1010802.172095608,0.5026860355149583
102,,Yieldspace,48.0,0.05000000000000289,0.05,1000000.0,1000000.0,1010688.3706165097,0.5026578884059574
103,,Hyperdrive,48.0,0.05000000000000289,0.05,1000000.0,1000000.0,1010688.3706165097,0.5026578884059574
104,,Yieldspace,49.0,0.050000000000000815,0.05,1000000.0,1000000.0,1010574.5983661378,0.5026297453411406
105,,Hyperdrive,49.0,0.050000000000000815,0.05,1000000.0,1000000.0,1010574.5983661378,0.5026297453411406
106,,Yieldspace,50.0,0.05000000000000006,0.05,1000000.0,1000000.0,1010460.8553332541,0.5026016063196416
107,,Hyperdrive,50.0,0.05000000000000006,0.05,1000000.0,1000000.0,1010460.8553332541,0.5026016063196416
108,,Yieldspace,51.0,0.04999999999999856,0.05,1000000.0,1000000.0,1010347.1415061158,0.502573471340468
109,,Hyperdrive,51.0,0.04999999999999856,0.05,1000000.0,1000000.0,1010347.1415061158,0.502573471340468
110,,Yieldspace,52.0,0.050000000000004374,0.05,1000000.0,1000000.0,1010233.4568734119,0.5025453404027332
111,,Hyperdrive,52.0,0.050000000000004374,0.05,1000000.0,1000000.0,1010233.4568734119,0.5025453404027332
112,,Yieldspace,53.0,0.04999999999999819,0.05,1000000.0,1000000.0,1010119.8014228465,0.5025172135053053
113,,Hyperdrive,53.0,0.04999999999999819,0.05,1000000.0,1000000.0,1010119.8014228465,0.5025172135053053
114,,Yieldspace,54.0,0.05000000000000054,0.05,1000000.0,1000000.0,1010006.1751435283,0.5024890906473991
115,,Hyperdrive,54.0,0.05000000000000054,0.05,1000000.0,1000000.0,1010006.1751435283,0.5024890906473991
116,,Yieldspace,55.0,0.049999999999998664,0.05,1000000.0,1000000.0,1009892.5780233929,0.5024609718279376
117,,Hyperdrive,55.0,0.049999999999998664,0.05,1000000.0,1000000.0,1009892.5780233929,0.5024609718279376
118,,Yieldspace,56.0,0.0499999999999971,0.05,1000000.0,1000000.0,1009779.0100509907,0.502432857045995
119,,Hyperdrive,56.0,0.0499999999999971,0.05,1000000.0,1000000.0,1009779.0100509907,0.502432857045995
120,,Yieldspace,57.0,0.049999999999998164,0.05,1000000.0,1000000.0,1009665.4712148227,0.5024047463006318
121,,Hyperdrive,57.0,0.049999999999998164,0.05,1000000.0,1000000.0,1009665.4712148227,0.5024047463006318
122,,Yieldspace,58.0,0.05000000000000204,0.05,1000000.0,1000000.0,1009551.9615032946,0.502376639590884
123,,Hyperdrive,58.0,0.05000000000000204,0.05,1000000.0,1000000.0,1009551.9615032946,0.502376639590884
124,,Yieldspace,59.0,0.050000000000002126,0.05,1000000.0,1000000.0,1009438.4809045924,0.5023485369157317
125,,Hyperdrive,59.0,0.050000000000002126,0.05,1000000.0,1000000.0,1009438.4809045924,0.5023485369157317
126,,Yieldspace,60.0,0.049999999999997824,0.05,1000000.0,1000000.0,1009325.0294071465,0.5023204382742144
127,,Hyperdrive,60.0,0.049999999999997824,0.05,1000000.0,1000000.0,1009325.0294071465,0.5023204382742144
